root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1319,"(8.75, 11.0]",6.0,24.117857142857144,3.2436666666666665,19.462,6.0,48.861000000000004,4.427045421458728,11.114472630659487,2.0
1319,"(11.0, 13.25]",7.0,24.117857142857144,1.3084285714285713,9.158999999999999,7.0,58.02,2.0834091570825444,13.19788178774203,1.0
1319,"(13.25, 15.5]",9.0,24.117857142857144,1.7926666666666666,16.134,9.0,74.154,3.6700211093317807,16.86790289707381,6.0
1319,"(15.5, 17.75]",20.0,24.117857142857144,2.0498000000000003,40.996,20.0,115.15,9.325411268015724,26.193314165089536,1.0
1319,"(17.75, 20.0]",40.0,24.117857142857144,1.46865,58.746,40.0,173.89600000000002,13.363025913524531,39.55634007861406,2.0
1319,"(20.0, 22.25]",42.0,24.117857142857144,1.6106904761904761,67.649,42.0,241.54500000000002,15.388202431212694,54.94454250982677,2.0
1319,"(22.25, 24.5]",33.0,24.117857142857144,1.1409090909090909,37.65,33.0,279.195,8.564292473431358,63.508834983258126,2.0
1319,"(24.5, 26.75]",15.0,24.117857142857144,0.7118666666666668,10.678,15.0,289.873,2.4289379822390456,65.93777296549716,6.0
1319,"(26.75, 29.0]",28.0,24.117857142857144,1.103,30.884,28.0,320.757,7.025222011937691,72.96299497743486,3.0
1319,"(29.0, 31.25]",16.0,24.117857142857144,2.2564375,36.103,16.0,356.86,8.212394453341098,81.17538943077595,0.0
1319,"(31.25, 33.5]",13.0,24.117857142857144,1.6984615384615382,22.08,13.0,378.94,5.022565147765323,86.19795457854127,0.0
1319,"(33.5, 35.75]",11.0,24.117857142857144,2.3345454545454545,25.68,11.0,404.62,5.841461639248799,92.03941621779008,1.0
1319,"(35.75, 38.0]",3.0,24.117857142857144,1.4509999999999998,4.353,3.0,408.973,0.9901823409521036,93.02959855874218,1.0
1319,"(38.0, 40.25]",5.0,24.117857142857144,1.3134000000000001,6.567,5.0,415.54,1.4938036832144417,94.52340224195662,2.0
1319,"(40.25, 42.5]",6.0,24.117857142857144,1.5569999999999997,9.341999999999999,6.0,424.882,2.125036395399621,96.64843863735624,0.0
1319,"(42.5, 44.75]",8.0,24.117857142857144,0.775,6.2,8.0,431.082,1.410321735332654,98.0587603726889,0.0
1319,"(44.75, 47.0]",6.0,24.117857142857144,1.4223333333333332,8.533999999999999,6.0,439.616,1.9412396273111077,100.0,0.0
1319,2.0-47.0,280.0,24.117857142857144,1.5700571428571428,439.616,280.0,439.616,100.0,100.0,29.0
1343,5-num Summary,280.0,23.22142857142857,,,280.0,,,,
1343,"(4.0, 6.45]",6.0,23.22142857142857,2.3921666666666668,14.353,6.0,14.353,3.9202672325966947,3.9202672325966947,2.0
1343,"(6.45, 8.9]",12.0,23.22142857142857,1.9578333333333333,23.494,12.0,37.847,6.416969160637271,10.337236393233967,0.0
1343,"(8.9, 11.35]",15.0,23.22142857142857,1.7713333333333334,26.57,15.0,64.417,7.25712397199848,17.594360365232447,1.0
1343,"(11.35, 13.8]",15.0,23.22142857142857,0.8297333333333333,12.446,15.0,76.863,3.3994040254231495,20.9937643906556,0.0
1343,"(13.8, 16.25]",33.0,23.22142857142857,1.3052121212121213,43.072,33.0,119.935,11.764352417083876,32.758116807739476,4.0
1343,"(16.25, 18.7]",26.0,23.22142857142857,1.1068076923076924,28.777,26.0,148.712,7.859926855182548,40.61804366292201,1.0
1343,"(18.7, 21.15]",41.0,23.22142857142857,1.1859268292682925,48.623,41.0,197.33499999999998,13.280509555531882,53.89855321845389,8.0
1343,"(21.15, 23.6]",24.0,23.22142857142857,1.0613333333333332,25.471999999999998,24.0,222.807,6.957224757799972,60.85577797625387,3.0
1343,"(23.6, 26.05]",17.0,23.22142857142857,1.3155294117647058,22.364,17.0,245.171,6.108329714330975,66.96410769058485,2.0
1343,"(26.05, 28.5]",14.0,23.22142857142857,1.2321428571428572,17.25,14.0,262.421,4.71153137060496,71.67563906118981,0.0
1343,"(28.5, 30.95]",9.0,23.22142857142857,1.4665555555555556,13.199,9.0,275.62,3.6050726122095575,75.28071167339937,1.0
1343,"(30.95, 33.4]",11.0,23.22142857142857,1.1576363636363636,12.734,11.0,288.354,3.47806611439325,78.75877778779261,1.0
1343,"(33.4, 35.85]",9.0,23.22142857142857,1.9977777777777779,17.98,9.0,306.334,4.9109179155638945,83.66969570335652,0.0
1343,"(35.85, 38.3]",9.0,23.22142857142857,2.190444444444444,19.714,9.0,326.048,5.384529242904706,89.05422494626121,1.0
1343,"(38.3, 40.75]",12.0,23.22142857142857,1.2279166666666668,14.735000000000001,12.0,340.783,4.024603753383425,93.07882869964465,1.0
1343,"(40.75, 43.2]",3.0,23.22142857142857,1.5733333333333333,4.72,3.0,345.50300000000004,1.2891842358988643,94.36801293554352,0.0
1343,"(43.2, 45.65]",2.0,23.22142857142857,0.58,1.16,2.0,346.66300000000007,0.31683341390734804,94.68484634945086,0.0
1343,"(45.65, 48.1]",6.0,23.22142857142857,1.3113333333333335,7.868,6.0,354.53100000000006,2.1490045695025985,96.83385091895347,2.0
1343,"(48.1, 50.55]",7.0,23.22142857142857,0.635,4.445,7.0,358.97600000000006,1.2140728662225535,98.04792378517602,0.0
1343,"(50.55, 53.0]",6.0,23.22142857142857,1.1911666666666667,7.147,6.0,366.12300000000005,1.9520762148239796,100.0,0.0
1343,4.0-53.0,280.0,23.22142857142857,1.307582142857143,366.12300000000005,280.0,366.12300000000005,100.0,100.0,29.0
1380,5-num Summary,280.0,25.6,,,280.0,,,,
1380,"(3.0, 5.65]",7.0,25.6,2.637285714285714,18.461,7.0,18.461,5.2876091620194945,5.2876091620194945,1.0
